id,name,supertype,set_name,number,hp,subtypes,types,rarity,image_url,p_hash
ex12-1,Aerodactyl,Pokémon,Legend Maker,1,70,Stage 1,Colorless,Rare Holo,https://images.pokemontcg.io/ex12/1_hires.png,be4ed1d1c1e0d694
dv1-1,Dratini,Pokémon,Dragon Vault,1,40,Basic,Dragon,Rare Holo,https://images.pokemontcg.io/dv1/1_hires.png,fa92f0e4852f9313
det1-1,Bulbasaur,Pokémon,Detective Pikachu,1,60,Basic,Grass,Common,https://images.pokemontcg.io/det1/1_hires.png,bb1bc0c4e43d3d91
xy5-1,Weedle,Pokémon,Primal Clash,1,50,Basic,Grass,Common,https://images.pokemontcg.io/xy5/1_hires.png,bf1e85f0487ad06c
pl3-1,Absol G,Pokémon,Supreme Victors,1,70,"Basic,SP",Darkness,Rare Holo,https://images.pokemontcg.io/pl3/1_hires.png,ee6ed0f1b122c293
hgss4-1,Aggron,Pokémon,HS—Triumphant,1,140,Stage 2,Metal,Rare Holo,https://images.pokemontcg.io/hgss4/1_hires.png,9e6ec9996466b0b1
dp3-1,Ampharos,Pokémon,Secret Wonders,1,130,Stage 2,Lightning,Rare Holo,https://images.pokemontcg.io/dp3/1_hires.png,9e5be1e1c48c87a5
pl1-1,Ampharos,Pokémon,Platinum,1,130,Stage 2,Lightning,Rare Holo,https://images.pokemontcg.io/pl1/1_hires.png,da5ac1a51c1f95e4
mcd19-1,Caterpie,Pokémon,McDonald's Collection 2019,1,50,Basic,Grass,,https://images.pokemontcg.io/mcd19/1_hires.png,e978d696b6a484d1
ex3-1,Absol,Pokémon,Dragon,1,70,Basic,Darkness,Rare Holo,https://images.pokemontcg.io/ex3/1_hires.png,cb5fe8b1e4c6c209
ru1-1,Venusaur,Pokémon,Pokémon Rumble,1,140,Stage 2,Grass,,https://images.pokemontcg.io/ru1/1_hires.png,ee6ec1f158b2d0c4
hgss1-1,Arcanine,Pokémon,HeartGold & SoulSilver,1,110,Stage 1,Fire,Rare Holo,https://images.pokemontcg.io/hgss1/1_hires.png,fbccb6320991b526
base4-1,Alakazam,Pokémon,Base Set 2,1,80,Stage 2,Psychic,Rare Holo,https://images.pokemontcg.io/base4/1_hires.png,fa5ac0a1a3939d8d
gym1-1,Blaine's Moltres,Pokémon,Gym Heroes,1,90,Basic,Fire,Rare Holo,https://images.pokemontcg.io/gym1/1_hires.png,bb3bc1c166e694d0
sm9-1,Celebi & Venusaur-GX,Pokémon,Team Up,1,270,"Basic,TAG TEAM,GX",Grass,Rare Holo GX,https://images.pokemontcg.io/sm9/1_hires.png,e9f59642909c6de4
ex11-1,Beedrill δ,Pokémon,Delta Species,1,90,Stage 2,"Grass,Metal",Rare Holo,https://images.pokemontcg.io/ex11/1_hires.png,cf4bc280bcbd1993
xy2-1,Caterpie,Pokémon,Flashfire,1,40,Basic,Grass,Common,https://images.pokemontcg.io/xy2/1_hires.png,bb7ec4da0eb1908c
base3-1,Aerodactyl,Pokémon,Fossil,1,60,Stage 1,Fighting,Rare Holo,https://images.pokemontcg.io/base3/1_hires.png,af7f91914ac29896
ecard2-H1,Ampharos,Pokémon,Aquapolis,H1,100,Stage 2,Lightning,Rare Holo,https://images.pokemontcg.io/ecard2/H1_hires.png,ff5e83a0c4cc84a7
ex7-1,Azumarill,Pokémon,Team Rocket Returns,1,80,Stage 1,Water,Rare Holo,https://images.pokemontcg.io/ex7/1_hires.png,ce6fc2d1c0d4cccc
pop6-1,Bastiodon,Pokémon,POP Series 6,1,130,Stage 2,Metal,Rare,https://images.pokemontcg.io/pop6/1_hires.png,da5af8e5e1c684a4
hgss4-2,Altaria,Pokémon,HS—Triumphant,2,90,Stage 1,Colorless,Rare Holo,https://images.pokemontcg.io/hgss4/2_hires.png,ba3ec6c24e5898e5
ecard2-H2,Arcanine,Pokémon,Aquapolis,H2,90,Stage 1,Fire,Rare Holo,https://images.pokemontcg.io/ecard2/H2_hires.png,ee64c0595bb3906d
pl1-2,Blastoise,Pokémon,Platinum,2,130,Stage 2,Water,Rare Holo,https://images.pokemontcg.io/pl1/2_hires.png,9b1bc6e0e0f4d0c7
ex11-2,Crobat δ,Pokémon,Delta Species,2,90,Stage 2,"Grass,Metal",Rare Holo,https://images.pokemontcg.io/ex11/2_hires.png,ab6fc781d1d89194
base3-2,Articuno,Pokémon,Fossil,2,70,Basic,Water,Rare Holo,https://images.pokemontcg.io/base3/2_hires.png,9e3ce0e1099fc9c3
xy2-2,Metapod,Pokémon,Flashfire,2,70,Stage 1,Grass,Uncommon,https://images.pokemontcg.io/xy2/2_hires.png,ba3ec4c5c1b3f0c4
pop6-2,Lucario,Pokémon,POP Series 6,2,90,Stage 1,Fighting,Rare,https://images.pokemontcg.io/pop6/2_hires.png,eb67c0d0c8a6978d
pl3-2,Blaziken FB,Pokémon,Supreme Victors,2,80,"Basic,SP",Fire,Rare Holo,https://images.pokemontcg.io/pl3/2_hires.png,db4fc2d2503b34b4
dp3-2,Blastoise,Pokémon,Secret Wonders,2,120,Stage 2,Water,Rare Holo,https://images.pokemontcg.io/dp3/2_hires.png,da6ac0f1cc9ec383
ex3-2,Altaria,Pokémon,Dragon,2,80,Stage 1,Colorless,Rare Holo,https://images.pokemontcg.io/ex3/2_hires.png,bb4fc2e048b19cb5
base4-2,Blastoise,Pokémon,Base Set 2,2,100,Stage 2,Water,Rare Holo,https://images.pokemontcg.io/base4/2_hires.png,de4ae0f1a19c9987
hgss1-2,Azumarill,Pokémon,HeartGold & SoulSilver,2,90,Stage 1,Water,Rare Holo,https://images.pokemontcg.io/hgss1/2_hires.png,bb318485065edb9e
gym1-2,Brock's Rhydon,Pokémon,Gym Heroes,2,80,Stage 1,Fighting,Rare Holo,https://images.pokemontcg.io/gym1/2_hires.png,fa7ac1a1e18385c7
det1-2,Ludicolo,Pokémon,Detective Pikachu,2,140,Stage 2,Grass,Rare,https://images.pokemontcg.io/det1/2_hires.png,ea6ad094956ba995
sm9-2,Weedle,Pokémon,Team Up,2,40,Basic,Grass,Common,https://images.pokemontcg.io/sm9/2_hires.png,f372cc8c1c363599
ex12-2,Aggron,Pokémon,Legend Maker,2,110,Stage 2,Metal,Rare Holo,https://images.pokemontcg.io/ex12/2_hires.png,eb6acc859e1a9199
ru1-2,Cherrim,Pokémon,Pokémon Rumble,2,80,Stage 1,Grass,,https://images.pokemontcg.io/ru1/2_hires.png,cb5d85924af2934e
xy5-2,Kakuna,Pokémon,Primal Clash,2,80,Stage 1,Grass,Uncommon,https://images.pokemontcg.io/xy5/2_hires.png,ea4a91b1353f9686
xy11-1,Tangela,Pokémon,Steam Siege,1,80,Basic,Grass,Common,https://images.pokemontcg.io/xy11/1_hires.png,af6ed292d1c5c40e
ex7-2,Dark Ampharos,Pokémon,Team Rocket Returns,2,120,Stage 2,"Lightning,Darkness",Rare Holo,https://images.pokemontcg.io/ex7/2_hires.png,fa836474919d9d2c
mcd19-2,Alolan Exeggutor,Pokémon,McDonald's Collection 2019,2,160,Stage 1,Grass,,https://images.pokemontcg.io/mcd19/2_hires.png,eb5a9cb0e4666781
sm12-1,Venusaur & Snivy-GX,Pokémon,Cosmic Eclipse,1,270,"Basic,TAG TEAM,GX",Grass,Rare Holo GX,https://images.pokemontcg.io/sm12/1_hires.png,9933b96badc64690
ex14-1,Banette,Pokémon,Crystal Guardians,1,70,Stage 1,Psychic,Rare Holo,https://images.pokemontcg.io/ex14/1_hires.png,be3ec2c1ca8d9585
bw1-1,Snivy,Pokémon,Black & White,1,60,Basic,Grass,Common,https://images.pokemontcg.io/bw1/1_hires.png,fa5ac6b1a4b1b82c
sm115-1,Caterpie,Pokémon,Hidden Fates,1,60,Basic,Grass,Common,https://images.pokemontcg.io/sm115/1_hires.png,ab7a8781bd3ca4c4
sm3-1,Caterpie,Pokémon,Burning Shadows,1,50,Basic,Grass,Common,https://images.pokemontcg.io/sm3/1_hires.png,e878ce97b634a0c3
si1-1,Mew,Pokémon,Southern Islands,1,30,Basic,Psychic,,https://images.pokemontcg.io/si1/1_hires.png,f2846f2b8b686b68
dp1-1,Dialga,Pokémon,Diamond & Pearl,1,90,Basic,Metal,Rare Holo,https://images.pokemontcg.io/dp1/1_hires.png,9e4ed495313f92c1
col1-1,Clefable,Pokémon,Call of Legends,1,80,Stage 1,Colorless,Rare Holo,https://images.pokemontcg.io/col1/1_hires.png,ca4298991fb4b5ad
bw10-1,Surskit,Pokémon,Plasma Blast,1,50,Basic,Grass,Common,https://images.pokemontcg.io/bw10/1_hires.png,bf1e91f0c0e0d48f
swsh35-1,Venusaur V,Pokémon,Champion's Path,1,220,"Basic,V",Grass,Rare Holo V,https://images.pokemontcg.io/swsh35/1_hires.png,91bb495332a969e5
xy7-1,Oddish,Pokémon,Ancient Origins,1,50,Basic,Grass,Common,https://images.pokemontcg.io/xy7/1_hires.png,ab738d989cb0d24e
gym2-1,Blaine's Arcanine,Pokémon,Gym Challenge,1,90,Stage 1,Fire,Rare Holo,https://images.pokemontcg.io/gym2/1_hires.png,be7ec1e169a4a485
ex9-1,Blaziken,Pokémon,Emerald,1,110,Stage 2,Fire,Rare Holo,https://images.pokemontcg.io/ex9/1_hires.png,da5bc090ce9f07c5
pop7-1,Ampharos,Pokémon,POP Series 7,1,130,Stage 2,Lightning,Rare,https://images.pokemontcg.io/pop7/1_hires.png,fa780d87c7d2928c
