lookup_key,id,name,supertype,set_name,number,image_url,p_hash
aaronscollection_88,pl2-88,Aaron's Collection,Trainer,Rising Rivals,88,https://images.pokemontcg.io/pl2/88_hires.png,ce6bc9d1c0e6b491
abomasnow_10,swsh6-10,Abomasnow,Pokémon,Chilling Reign,10,https://images.pokemontcg.io/swsh6/10_hires.png,ba58f62661c1999e
abomasnow_101,sv4pt5-101,Abomasnow,Pokémon,Paldean Fates,101,https://images.pokemontcg.io/sv4pt5/101_hires.png,b1b816076fc34b4e
abomasnow_11,sv2-11,Abomasnow,Pokémon,Paldea Evolved,11,https://images.pokemontcg.io/sv2/11_hires.png,ce6854b53e5ad291
abomasnow_12,dp7-12,Abomasnow,Pokémon,Stormfront,12,https://images.pokemontcg.io/dp7/12_hires.png,d2e85a1b89b5e14e
abomasnow_13,swsh2-13,Abomasnow,Pokémon,Rebel Clash,13,https://images.pokemontcg.io/swsh2/13_hires.png,afc4c4d61a3a39e1
abomasnow_19,dp2-19,Abomasnow,Pokémon,Mysterious Treasures,19,https://images.pokemontcg.io/dp2/19_hires.png,cadbc13346ec4969
abomasnow_26,bw10-26,Abomasnow,Pokémon,Plasma Blast,26,https://images.pokemontcg.io/bw10/26_hires.png,cb4bd6b4243591d3
abomasnow_38,sm5-38,Abomasnow,Pokémon,Ultra Prism,38,https://images.pokemontcg.io/sm5/38_hires.png,aec0743337624e5b
abomasnow_4,sm6-4,Abomasnow,Pokémon,Forbidden Light,4,https://images.pokemontcg.io/sm6/4_hires.png,afcc703332e24e5a
abomasnow_40,xy8-40,Abomasnow,Pokémon,BREAKthrough,40,https://images.pokemontcg.io/xy8/40_hires.png,caa9163364f4cb4b
abomasnow_42,sm11-42,Abomasnow,Pokémon,Unified Minds,42,https://images.pokemontcg.io/sm11/42_hires.png,abd93e26e2e29494
abomasnow_43,swsh11-43,Abomasnow,Pokémon,Lost Origin,43,https://images.pokemontcg.io/swsh11/43_hires.png,aece26a7f0589899
abomasnow_60,sv10-60,Abomasnow,Pokémon,Destined Rivals,60,https://images.pokemontcg.io/sv10/60_hires.png,8a9b70f165661e96
abomasnow_tg01,swsh10tg-TG01,Abomasnow,Pokémon,Astral Radiance Trainer Gallery,TG01,https://images.pokemontcg.io/swsh10tg/TG01_hires.png,ca9c6361a5e39c3c
abra_148,sv4pt5-148,Abra,Pokémon,Paldean Fates,148,https://images.pokemontcg.io/sv4pt5/148_hires.png,80c44c5a5f277a6f
abra_43,base1-43,Abra,Pokémon,Base,43,https://images.pokemontcg.io/base1/43_hires.png,eb6ec5900db3e1c4
abra_46,ecard3-46,Abra,Pokémon,Skyridge,46,https://images.pokemontcg.io/ecard3/46_hires.png,fa84027f4ff0606e
abra_49,base5-49,Abra,Pokémon,Team Rocket,49,https://images.pokemontcg.io/base5/49_hires.png,cbd187966968690f
abra_54,me1-54,Abra,Pokémon,Mega Evolution,54,https://images.pokemontcg.io/me1/54_hires.png,8a7e50e0958f9dd1
abra_63,sv3pt5-63,Abra,Pokémon,151,63,https://images.pokemontcg.io/sv3pt5/63_hires.png,b23a47cd4da5b4d0
abra_65,base4-65,Abra,Pokémon,Base Set 2,65,https://images.pokemontcg.io/base4/65_hires.png,ca47c3980fb3f1c1
abra_67,base6-67,Abra,Pokémon,Legendary Collection,67,https://images.pokemontcg.io/base6/67_hires.png,ea4ec3b10fb3c1c1
abra_69,dp2-69,Abra,Pokémon,Mysterious Treasures,69,https://images.pokemontcg.io/dp2/69_hires.png,db4be8b1868786a5
abra_80,sv6-80,Abra,Pokémon,Twilight Masquerade,80,https://images.pokemontcg.io/sv6/80_hires.png,ea6a85951d2a5ad6
abra_93,ecard1-93,Abra,Pokémon,Expedition Base Set,93,https://images.pokemontcg.io/ecard1/93_hires.png,fe4ea1719192926e
